Time[s], SCL, SDA
2.42930175, 1, 1
2.429328125, 0, 1
2.429410125, 1, 1
2.4294365, 0, 1
2.4295185, 1, 1
2.429544875, 0, 1
2.429626875, 1, 1
2.42965325, 0, 1
2.42973525, 1, 1
2.42976175, 0, 1
2.42984375, 1, 1
2.429870125, 0, 1
2.429952125, 1, 1
2.4299785, 0, 1
2.4300605, 1, 1
2.430086875, 0, 1
2.434071875, 1, 1
2.43409825, 0, 1
2.43418025, 1, 1
2.43418075, 1, 0
2.4342075, 0, 0
2.434316625, 1, 0
2.434343, 0, 0
2.434452125, 1, 0
2.43445375, 1, 1
2.434477625, 0, 1
2.434559625, 1, 1
2.434586, 0, 1
2.434668, 1, 1
2.434669125, 1, 0
2.434695125, 0, 0
2.434804375, 1, 0
2.43480725, 1, 1
2.434829875, 0, 1
2.434911875, 1, 1
2.43491325, 1, 0
2.434939125, 0, 0
2.43504825, 1, 0
2.435051375, 1, 1
2.43507375, 0, 1
2.43515575, 1, 1
2.435182125, 0, 1
2.43526425, 1, 1
2.435290625, 0, 1
2.435372625, 1, 1
2.435399, 0, 1
2.435481, 1, 1
2.435507375, 0, 1
2.435589375, 1, 1
2.43561575, 0, 1
2.43569775, 1, 1
2.435724125, 0, 1
2.435806125, 1, 1
2.435832625, 0, 1
2.435914625, 1, 1
2.435941, 0, 1
2.436023, 1, 1
2.436049375, 0, 1
2.436131375, 1, 1
2.43615775, 0, 1
2.436239875, 1, 1
2.43626625, 0, 1
2.43634825, 1, 1
2.436374625, 0, 1
2.440361125, 1, 1
2.440387625, 0, 1
2.440469625, 1, 1
2.440473, 1, 0
2.44049675, 0, 0
2.440605875, 1, 0
2.44063225, 0, 0
2.440741375, 1, 0
2.44074275, 1, 1
2.440766875, 0, 1
2.440848875, 1, 1
2.44087525, 0, 1
2.44095725, 1, 1
2.44095775, 1, 0
2.4409845, 0, 0
2.441093625, 1, 0
2.441096, 1, 1
2.441119, 0, 1
2.441201, 1, 1
2.44120175, 1, 0
2.44122825, 0, 0
2.441337375, 1, 0
2.44133975, 1, 1
2.44136275, 0, 1
2.44144475, 1, 1
2.441471125, 0, 1
2.441553125, 1, 1
2.4415795, 0, 1
2.4416615, 1, 1
2.441687875, 0, 1
2.441769875, 1, 1
2.44179625, 0, 1
2.441878125, 1, 1
2.4419045, 0, 1
2.4419865, 1, 1
2.442012875, 0, 1
2.442094875, 1, 1
2.44212125, 0, 1
2.44220325, 1, 1
2.442229625, 0, 1
2.4423115, 1, 1
2.442337875, 0, 1
2.442419875, 1, 1
2.44244625, 0, 1
2.44252825, 1, 1
2.442554625, 0, 1
2.442636625, 1, 1
2.442663, 0, 1
2.446647125, 1, 1
2.44664975, 1, 0
2.4466745, 0, 0
2.446783625, 1, 0
2.446784625, 1, 1
2.446809125, 0, 1
2.446891125, 1, 1
2.44689375, 1, 0
2.4469185, 0, 0
2.44702775, 1, 0
2.447028625, 1, 1
2.447053125, 0, 1
2.447135125, 1, 1
2.447161625, 0, 1
2.4472435, 1, 1
2.447247, 1, 0
2.44727075, 0, 0
2.447379875, 1, 0
2.447381875, 1, 1
2.44740525, 0, 1
2.44748725, 1, 1
2.44748775, 1, 0
2.4475145, 0, 0
2.447623625, 1, 0
2.447625875, 1, 1
2.447649, 0, 1
2.447731, 1, 1
2.447757375, 0, 1
2.447839375, 1, 1
2.44786575, 0, 1
2.44794775, 1, 1
2.447974125, 0, 1
2.448056125, 1, 1
2.4480825, 0, 1
2.4481645, 1, 1
2.448190875, 0, 1
2.448272875, 1, 1
2.44829925, 0, 1
2.44838125, 1, 1
2.448407625, 0, 1
2.448489625, 1, 1
2.448516, 0, 1
2.448598, 1, 1
2.448624375, 0, 1
2.448706375, 1, 1
2.44873275, 0, 1
2.44881475, 1, 1
2.448841125, 0, 1
2.448923125, 1, 1
2.4489495, 0, 1
2.44947375, 0, 0
2.459875625, 1, 0
2.45987825, 1, 1
2.459901125, 0, 1
2.459983, 1, 1
2.459984125, 1, 0
2.46001025, 0, 0
2.460119375, 1, 0
2.460145625, 0, 0
2.46025475, 1, 0
2.460257, 1, 1
2.460280125, 0, 1
2.460362125, 1, 1
2.4603885, 0, 1
2.460470375, 1, 1
2.460472, 1, 0
2.460497625, 0, 0
2.460606625, 1, 0
2.46061, 1, 1
2.46063225, 0, 1
2.460714125, 1, 1
2.460716, 1, 0
2.460741375, 0, 0
2.460850375, 1, 0
2.460850625, 1, 1
2.460875875, 0, 1
2.460957875, 1, 1
2.46098425, 0, 1
2.46106625, 1, 1
2.461092625, 0, 1
2.461174625, 1, 1
2.461201, 0, 1
2.461282875, 1, 1
2.46130925, 0, 1
2.46139125, 1, 1
2.461417625, 0, 1
2.461499625, 1, 1
2.461526, 0, 1
2.461608, 1, 1
2.461634375, 0, 1
2.461716375, 1, 1
2.46174275, 0, 1
2.46182475, 1, 1
2.461851125, 0, 1
2.461933125, 1, 1
2.4619595, 0, 1
2.4620415, 1, 1
2.462067875, 0, 1
2.462149875, 1, 1
